"Date","Headline","id","text"
2003-01-02,"2 men plucked from Ben Lomond",1,"OGDEN -- It was a chilly New Year's Eve for two North Ogden men, who rang in the new year while stranded atop Ben Lomond Peak. The two 18-year-old men hiked six miles to the peak Monday, intending to do some snowboarding and spend Monday and Tuesday nights on the mountainside. However, the pair became separated in Tuesday afternoon's snowstorm and quickly became disoriented, Weber County Sheriff's Lt. Jeff Malan said. Spencer Grimley called his father on his cell phone, who told him to dig a snowcave and crawl inside his sleeping bag. The father called police, and two four-person search and rescue teams started up the mountain at about 5 p.m. Poor conditions forced authorities to call off the search at 11 p.m., Malan said. Rescuers reassembled at 8 a.m. Wednesday and, with the help of a Utah Highway Patrol helicopter, were able to locate Grimley within about 15 minutes. He was standing on North Ogden Ridge waving his arms to get the attention of the pilot, Utah Highway Patrol Capt. Steve Rugg said. Grimley appeared to be in good condition, so Rugg continued searching for Grimley's friend, Phillip Burnett, who was spotted about five minutes later down a deep ravine. Burnett was in a sleeping bag and looked like he'd been injured, Rugg said. After calling for a medical helicopter equipped with a hoist to retrieve Burnett, Rugg returned to pick up Grimley. ""He seemed to be in very good shape,"" Rugg said. ""He spent the night in the snowcave so he weathered out the storm that way."" Burnett had a sleeping bag but had lost his pack with the rest of his gear somewhere along the way, Malan said. Burnett was taken to McKay-Dee Hospital, where he was treated for exposure and released Wednesday afternoon. Rugg said the search area was narrowed significantly because Grimley had been in contact with searchers on his cell phone. ""This was pretty fast,"" Rugg said. ""A lot of times we can be anywhere from hours to days on searches."" Rugg was called to join the search Tuesday night, but the adverse weather prevented him from flying. Although both men have experience with winter camping, Malan said conditions on the mountain Tuesday night were harsh -- at least 60 mph winds and temperatures that dipped well below zero. ""It's some extreme conditions up there, and when you do that extreme skiing you've got to expect those conditions to settle in,"" Malan said. Grimley has spent the past four New Year's Eves on the mountain, Malan said. Grimley declined to comment Wednesday when contacted by the Deseret News, though he did say he was feeling fine after his overnight adventure. Luckily, the young men had some supplies, but not enough to adequately withstand the winter weather, Rugg said. ""They were somewhat prepared, but I think they were surprised at how bad the storm got yesterday and last night,"" he said. ""Those boys are very fortunate."" E-mail: awelling@desnews.com "
2003-01-01,"7 charged with assault, rioting in St. Paul melee",2,"Seven men were charged Tuesday with assault and rioting in connection with a fight outside a St. Paul pool hall last week.  Thanh Tran, 24, of Roseville remains in critical condition at Regions Hospital after the Dec. 26 incident, in which he was shot.  A machete, a rifle, a handgun, sticks and knives were involved in two ""group vs. group"" fights, according to criminal complaints filed in Ramsey County District Court. Some of those charged told police that they called others on cell phones to join the 4 a.m. fracas in a pool hall parking lot on Sherburne Avenue near Chatsworth Street. Police reported that more than 20 people were involved in the fighting.  One of the men charged with second-degree rioting, Kevin N. Pham, 26, of St. Paul, had his thumb cut off by a machete during the fight.  Do D. Nguyen, 19, of St. Anthony and Duc H. Vu, 27, of Santa Ana, Calif., were charged with second-degree assault and second-degree rioting. The four others charged with second-degree rioting are Somon Huot, 26, of St. Paul; Duy T. Nguyen, 18, of St. Paul; Hiep N. Chu. 29, of Vadnais Heights, and Duc N. Nguyen, 21, of St. Anthony.  According to the complaint, witnesses told police that Chu and Tran are leaders of a gang known as 007."
2003-01-01,"A great night for a party",3,"As the clock ticked over to 2003, cellphone transmission failures and traffic congestion proved to be the biggest problems of the evening for revellers at one of New Zealand's most popular holiday spots. Thousands of travellers faced a long, hot wait at the entrance to the Coromandel Peninsula when traffic backed up for several kilometres on either side of the notorious one-lane Kopu Bridge near Thames. Vodafone users in the area were unable to call or text on their cellphones from midday yesterday when half of the company's 35 peninsula cell sites stopped transmitting. As midnight approached technicians were still working on the problem and were unable to say when it would be fixed for users to call or text their New Year greetings. Vodafone spokeswoman Sarah Williams said congestion was not the cause of the failure and she hoped people would keep trying to use their cellphones during the evening. Telecom reported no problems with its mobile network. An absence of boy racers and an unpacked Queen Street marked the beginning of the New Year in central Auckland. While the night was still young at 11pm, the streets were quieter than the average Friday night. The only lively spot on Queen Street was a church group singing in front of Mid-City, who managed to block the footpath with clapping admirers. While down at Aotea Square's family event, First Night, revellers seemed more attuned to the food stalls than the concert going on at the time. But despite rumours of potential bomb scares at the Viaduct Basin, bar owners noticed big crowds - some even bigger than last year. Danny Doolan's general manager, Gary Connolly said they stopped letting people in at 11pm because it was too packed. ""We started picking up at 9pm - we were a bit worried about the bomb rumours, but a lot of people have come in now and there's queues all around the area."" Milano Bar reported it was busier this year compared to last year and Spy bar expected punters to party on until midday. ""Last year it was absolutely nuts and we're expecting it to get like that after 12.30. Even though there's three big dance parties I'm guessing they'll come here as a destination bar and if they want to stay past midday, we'll stay open longer,"" said Chris Barron, manager of Spy Bar. As the midnight countdown approached a helicopter hovered overhead and two ambulances were on standby at the entrance to Princes Wharf. Police said the crowd was slightly better behaved than last year with just 30 arrests between 10pm and midnight across Auckland City for liquor ban breaches. Auckland were treated to an impressive fireworks display at midnight from the Sky Tower, although it caused a traffic jam with cars bottling up in streets around the tower as motorists readied themselves for a good position to watch the display. Last New Year's Eve the display brought traffic to a standstill in some inner city streets. The Coromandel Peninsula is one of the most popular summer holiday destinations for revellers, and towns such as Whangamata, Coromandel and Whitianga more than treble in population. Around 152,000 people visit the area each year. But travelling to the peninsula is not always a relaxing trip, and yesterday's long queues at the Kopu Bridge frustrated thousands of motorists forced to sit in hot cars waiting for the bridge traffic lights to change. Motorists face at least five more years of having to queue at the one-land bridge until a replacement is built. The problem was compounded by a logjam of cars on the Thames side of the bridge, waiting to turn on to State Highway 26, which links Thames and the Kopu-Hikuai turnoff. Communication problems also caused confusion further up the peninsula and led to a delay of nearly three hours before an ambulance arrived to treat a man with a serious leg injury. The 21-year-old was hurt when a car rammed into the back of a parked car, pinning him, at Waikawau Bay Farm Camp near Coromandel just after 2pm. Generally, all was quiet around the country as revellers prepared for the countdown to midnight. Eventually thousands of young people gathered at Whangamata's Williamson Park, where bands Xcalibre and Contagious were on stage. But celebrations got off to a slow start in the town's surf club, with only a handful of people gathering for the 8pm start of entertainment. Private celebrations were in full swing, however, with large groups filling outdoor areas of almost every second property - avoiding the liquor ban by not venturing outside their own land with alcohol. Police continued to enforce the town's liquor ban, which by yesterday morning had resulted in the arrest of nearly 400 young people. In Mt Maunganui only 43 people were in the makeshift police cells ""Alkatraz"" by 11.30pm - only half the number of those arrested last year. Senior Sergeant Duncan MacLeod said police were very pleased with the night, and said the atmosphere was very family-orientated. Police had made a visible impact as they strolled along the beachfront town during the evening wearing flourescent yellow jackets. Two furniture trucks parked behind the police station and set up with beds for youngsters who had over-indulged had yet to be used at midnight. There had been 285 arrests from Boxing Day - when anti-social behaviour was targeted as part of Operation Lustrate - until last evening. Most had been for breaches of the 24-hour liquor bans, which cover most of Mt Maunganui's central business district, downtown Tauranga and parts of Papamoa until January 6. Flouting the ban can cost up to $500. ""There is a relaxed atmosphere and a general holiday mood,"" Mr MacLeod agreed. ""Let's hope it stays that way."" In Rotorua, crowds gathered at the lakefront for a big concert, to be followed by fireworks at midnight. At the Haruru Falls concert near Paihia, high-profile Kiwi acts rocked young revellers into the New Year. But early on, concertgoers were kept in the dark over when bands and singers such as Che Fu, Tadpole and Fur Patrol were playing after organisers decided not to print programmes with the order of performances. ""You don't know what is happening when,"" said Olivia Willard, who had travelled north from Wellington. In Whangamata, police were tonight investigating a hit-and-run in which a 12-year-old boy received minor injuries on Monday night. The boy was thrown on to the windscreen and carried on the bonnet for a couple of metres before falling off the car in Hauturu St. The small, white hatchback, drove on without stopping."
2003-01-01,"A mild goose hunt",4,"FERGUS FALLS, Minn. -- It was just after 9 a.m. and the geese were finally coming out of town, exactly as Mike Jacobs predicted.  We were out of bed at 5 a.m., setting decoys by 6 and ready to shoot by 7:30. But December geese often keep banker's hours, and we hadn't seen a bird in the air. We were discussing whether to sneak back to town for a quick breakfast and some hot coffee. But that changed just after 9 a.m.  Hundreds, perhaps thousands, of big Canada geese were leaving their water roost in the city and heading out to feed in farm fields on a blustery December morning. And a big bunch was headed right at us.  'When they come up over the hill from town and out of that gap between those two telephone poles, that's our zone. Those are the ones we want,' Jacobs advised.  Jacobs should know. He's shot hundreds of geese in this field over the past decade or so. Jacobs, who lives in Royalton, Minn., grew up in the Fergus Falls area, where his parents and brother still live.  'Those are in the zone. Start calling!' Jacobs said. 'And keep flagging.'  So we blew into our short-reed goose calls with gusto and waved goose 'flags,' T-shaped black cloth on a stick that's supposed to look like a goose landing.  Skeins of geese, V's of geese, pairs and unorganized flocks -- all of them seemed to converge on us at once. At one point we had more than 100 geese within 100 yards, many seeming to hover just outside our decoys. Just as one group was about to land, another would cross its path. It looked like a disorganized air show.  That's when Eric Jorgensen's cell phone rang.  'I can't talk now, man. We're under attack,' said the hunter before quickly hanging up.  But amid the clamor of geese and three hunters calling from inside a pit in the ground, no one fired a shot.  Amazingly, no one said 'Take 'em.' None of us called the shot. Maybe we were too mesmerized by the number of birds in the air. Each of us probably had decent shots to take but we waited too long for the perfect shot that never came. The geese slipped away to feed somewhere else.  'I can't believe we didn't get a goose out of that,' Jorgensen said.  'There were too many of them,' Jacobs said.  But it didn't matter. In the next hour or so, dozens of geese would come well within range -- some of them just a few feet from our faces -- their big wings set, gliding into our decoys.  And so we readily obliged the Minnesota Department of Natural Resources' goal to reduce the growing flock of geese that spend the entire winter in Fergus Falls.  By the time we picked up our decoys at 1 p.m., the dogs had retrieved 14 geese, just one shy of our daily limit.  Large stretches of the Ottertail River remain open in and near Fergus Falls, even through the coldest winters, thanks to a local power plant, dams and fast-moving water.  All that open water has, over the past 20 years, become a magnet for increasing numbers of giant Canada geese that nest across the farm ponds and wetlands of western and northwestern Minnesota. When other lakes and swamps freeze, many of those geese head to Fergus Falls instead of migrating south.  By early December, more than 10,000 geese are spending most of their day in the city. After they run out of grass, they have to head out of town to feed in farmers' fields. Another 15,000 geese still are keeping the nearby Orwell Reservoir ice-free as well, making for a high concentration of huntable birds.  Duluth army heads west  This is the second year that a group of Duluth area hunters has joined Jacobs on his annual trip home for the December goose season.  Jacobs, who lived for a short time in Cloquet, hosted eight of us. Together we shot 45 Canada geese in a day-and-a-half.  But it started slow.  A few geese came close enough to look at our spread but veered off without landing. They apparently saw or heard something they didn't like.  While these may be tame-looking critters in town, the birds quickly regain their keen instincts to avoid trouble when outside the city limits. These geese are hunted hard for four months each fall -- during a special September season, during the regular October-November waterfowl season, and now for eight days in December. They wise up fast to mediocre calling, poorly placed decoys or hunters who aren't concealed.  But not all of the geese snubbed us. The action never got fast that first day, but enough geese flew to keep us busy calling and flagging, especially around 11 a.m. That's when a flock of five big geese circled our massive spread of fake geese, their necks craned, searching for the source of our goose calls below.  This time, we must have done everything right. The geese answered our calls. We were well hidden in our camouflage-covered blinds. The dogs didn't move. And the five geese set their wings to land.  They made the mistake of flying directly in front of all nine of us as they came in to land. And nearly all of us sat up to shoot.  One-by-one, all five geese folded and fell.  Sunset came with no big flurry but at least one last surprise. Just as we were about to pick up decoys, a group of five huge trumpeter swans flew past our decoys just a few feet off the ground. As most of us stopped to admire the big birds, a few noticed a lone Canada goose following in formation at the end of the group.  Someone grabbed a goose call and gave a few clucks. Someone yelled for anybody with a loaded gun to shoot. Even though several of us were standing in the decoys, the goose was coming in to land.  Duluth's Mike Marmon grabbed his 10-gauge, rammed in a single shell and fired just as the bird figured out he was making a huge mistake.  The 11th and final goose of the day fell to the ground."
2003-01-03,"AJC INTERVIEW / CATHERINE ZETA-JONES: Jazzed about 'Chicago'",5,"THE MOVIE ""Chicago"" Starring Catherine Zeta-Jones, Renee Zellweger and Richard Gere. Directed by Rob Marshall. Rated PG-13 for sexual content and dialogue, violence and thematic elements. At metro theaters. 1 hour, 53 minutes.   * On ajc.com: Read AJC film critic Eleanor Ringel Gillespie's review of ""Chicago."" Grade: A- AJC New York --- Not every woman does leg splits between having babies. But that's Catherine Zeta-Jones' MO. Birth a baby. Film ""Chicago,"" with its hot-jazz, leg-splitting opening number, ""All That Jazz."" Birth a baby. Baby No. 2 with husband Michael Douglas is due in April, she says while placing her right hand atop her tummy. She's wearing perfectly chic black stretch pants, exposed under a perfectly chic black top. ""This movie was really physically demanding, and it was my idea to do it after I'd had a baby,"" Zeta-Jones says. "" 'Oh, my God,' I thought. 'Whose bright idea was this?' "" As the musical's smart, calculating, headline-grabbing vaudeville diva Velma Kelly, Zeta-Jones opens the film with the blistering ""All That Jazz."" As she belts out the words and dances, a line of male hoofers hoists her into the air, extending her legs into a flawless split. The 33-year-old, Welsh-born actress got her start on the English stage in musicals. So she does splits all the time. Right? ""Never,"" Zeta-Jones says. ""Never did a split from the moment I [previously] put my dance shoes up. Of course, I couldn't do it when I started doing this movie. I was terrified about being lifted up by these guys. I thought, I'm sure I'm too heavy. They're going to collapse under me, and I'm going to break my neck."" Obviously, nothing got broken. Her co-stars talk about her ferocity in preparing and performing for ""Chicago."" The film is full of show-stopping numbers not only from Zeta-Jones but also from co-stars Renee Zellweger (as Roxie Hart), Richard Gere, John C. Reilly and Queen Latifah. Reilly has noted the tenacity in the film's two leading ladies, Zeta-Jones and Zellweger. ""I would not want to battle them for a taxi,"" he says. Critics are heaping praise on the movie. ""Chicago,"" as much about the unquenchable thirst for celebrity as it is about song-and-dance numbers, landed a leading eight nominations for this month's Golden Globes, including best motion picture musical or comedy, director and nods for each of its five main stars. Though she has a musical background, many American filmgoers are more familiar with Zeta-Jones as a dramatic actress. She made ""The Mask of Zorro"" (1998); ""Entrapment,"" with Sean Connery (1999); ""The Haunting"" (1999); ""High Fidelity"" (2000); and Steven Soderbergh's ""Traffic."" There was also the comedy ""America's Sweethearts"" (2001), with Julia Roberts. A pregnant Zeta-Jones recently sat down (gingerly) in her New York hotel suite to talk about ""Chicago,"" the difference between making musicals and dramas and her recent cellphone ad campaign. She also spoke about a little item she treasures on almost all her film sets: a karaoke machine. AJC: How did you go about finding Velma? ZETA-JONES: I always knew the music but didn't really know the story. But what I learned from Bill Condon's script and [director] Rob Marshall's vision was that I didn't have a lot of deep scene work that would explain Velma's character. So I had to nail her from the moment she finishes that first number. What I wanted to do was find nuances that weren't explained but were so characteristic of her. She's desperate to be on top. She's ruthless. Everything about her is on show. And she wants everyone to love her. It's greed and love of celebrity. AJC: And what about the regimen of singing and dancing again? ZETA-JONES: It was like being in a boot camp. Yes, I've danced before, but it was a long time ago. I had to get back the style and the edginess and the stamina and the flexibility. It was tough. And just tuning up the voice. I've never rehearsed so intensely for a movie in my life, and I probably won't ever again. AJC: It was while you were making ""America's Sweethearts"" that I first heard about you and your traveling karaoke machine. ZETA-JONES: It's a bizarre thing. I always like to have a karaoke machine in my trailer. I like to sing sometimes. AJC: What do you sing? ZETA-JONES: Oh, the standards, from the Carpenters to Simon and Garfunkel. Good old tunes. I release a lot of tension by belting out songs. People would laugh. My brother was with me one time, and he's a bit of a karaoke freak, too. So I'd go back to my trailer and I'd hear ""Bridge Over Troubled Water"" blaring. It's fun. It passes the time. I didn't have a karaoke machine on ""Chicago"" for obvious reasons. I had enough singing and dancing and enough music around. But on my other films, I have had one. Even on ""Traffic."" AJC: There was a commentary piece in the Chicago Tribune that criticized your cellphone ads. It basically said, ""Why would someone of the stature of Catherine Zeta-Jones do this?"" ZETA-JONES: They gave me an offer I couldn't refuse. It's a business venture I wanted to partake in. The industry is not just about showing up and knowing your lines anymore. The movie studios are conglomerates. AOL Time Warner. Viacom. The Internet business. Technology. It's all mixed up in the same bag. And [it's] like I have an Elizabeth Arden contract. Same as Halle Berry. I'm a complete gadget freak. AJC: ""Traffic"" and ""Chicago"" are really your best works to date. They are two different genres. Is it easier to get into playing one more than the other? ZETA-JONES: Having that rehearsal period for ""Chicago"" was something I cherished, because I can flesh out so much. Try certain things and fall flat on your face and then come back up again. It gives you the time to do that. With ""Traffic,"" it's scarier. The way Steven [Soderbergh] shoots, it's very different. He has the camera on his shoulder. He's sitting in the car with you while you're doing the scene, filming it. It's spontaneous to the point of ""Don't say that line, say something like this"" or ""Improvise something there."" They are two completely different styles. And I like them both the same. I find them both challenging. AJC: And you've done a Coen brothers movie with George Clooney, the upcoming ""Intolerable Cruelty."" That must be different again. ZETA-JONES: Yes. Bang, bang, bang, bang, bang. We'd be doing scenes with me and George, and they'd be snickering behind the camera --- to the point they had to stop shooting. It would just crack them up. And the amazing thing is we were always done for the day at 2 in the afternoon because they were so prepared. Everything they have on the schedule is done. And I'm like, ""Don't you want to do another take?"" ""No,"" one of them would say. ""I think we've got it."" Graphic   Photo: Catherine Zeta-Jones, who got her start on the English stage, plays vaudeville diva Velma Kelly in ""Chicago."" / David James; Photo: Catherine Zeta-Jones in a scene from ""Chicago."" (Teaser)"
2003-01-03,"Ban cell use while driving",6,"It would garner widespread opposition from legions of cellphone owners, but B.C. would do well to follow Newfoundland's lead and ban the use of hand-held cellphones while driving. It makes sense. We're taught to drive with both hands on the steering wheel. Anyone will agree that driving with one hand in most situations is more dangerous than driving with two. Now add the distraction of carrying on a conversation with a phone pinned to your ear while driving in tight traffic or dicey situations. Driving while talking on a cellphone is like most anything else; it takes getting used to. But regardless of how experienced a driver/talker is, it stands to reason that a driver's reaction time is compromised when he or she is concentrating on two tasks at once. And one of those tasks -- keeping an automobile out of trouble -- is obviously far more important than the other. There is no shortage of drivers who can tell their story of a near-miss while he or she was talking on a cellphone. Surprisingly, the Canada Safety Council says cellphone use by drivers doesn't make highways more dangerous. The council notes there are now 10 million cellphones in Canada compared to 1.8 million in 1993, but during that time traffic fatalities and injuries dropped 10 per cent. It's a good bet that safer cars and highways are responsible for the decline in fatalities and injuries, including those accidents involving drivers who were using a cellphone at the time. Conversely, a study published in the New England Journal of Medicine found talking on a cellphone -- whether hand-held or a hands-free phone -- while driving was responsible for a four-fold increase in the risk of being in an accident. Particularly alarming is the abundance of young drivers who talk on cellphones while behind the wheel. Statistics show younger drivers are already the most accident prone. Their inexperience -- both in regular driving and accident avoidance -- is compounded by the distraction of concentrating on a conversation, not to mention the loss of one hand from the wheel. The Pacific province should copy its Atlantic sister's lead. Banning the use of cellphones while driving would make Newfoundland and British Columbia common-sense bookends on the map of Canada. It's the right call."
2003-01-01,"Battle for Blues  helsea out to gun down Arsenal",7,"Soccer English Premier League LONDON: Chelsea's biggest hurdle to winning the English soccer title for the first time since 1955 is not Arsenal, but themselves.  Chelsea's title credentials will be tested early tomorrow morning (Queensland time) in a London derby that the often inconsistent Blues need to win to haul in Arsenal's five- point lead.  ""Our battle is not against Arsenal, but against ourselves,"" said Chelsea manager Claudio Ranieri. ""Everyone likes to put Arsenal and Chelsea together, but we're only concerned with our own performance.  ""The points difference now is not important.  ""Chelsea is Chelsea and we shouldn't be thinking about Arsenal, Manchester United or Liverpool.""  Defending champions Arsenal have 43 points, with Chelsea and Manchester United on 38 points. Newcastle and Everton have 35 points in a tie for fourth place, with Liverpool on 34 points.  Premier League clubs are lining up for their third matches in five days and minor injuries have hit many of them.  Those doubtful include Liverpool's Michael Owen (hamstring), Manchester United's Ruud van Nistelrooy (toe), Everton's Kevin Campbell (ankle), Newcastle's Kieron Dyer (calf) and Leeds' Harry Kewell (leg).  In other key games, Manchester United meet Sunderland, Newcastle host Liverpool, Everton are at home to Manchester City and Leeds play Birmingham.  Manchester United manager Alex Ferguson said Arsenal's 1-1 draw was a boost.  ""The draw has given us a glimmer of hope again,"" said Ferguson.  ""We have to make sure the glimmer gets stronger.""  Liverpool seek their first win in 10 games. They have just four points from a possible 27 this month and are on their worst league run since 1954.  Newcastle will be without midfielders Gary Speed, Dyer and Nolberto Solano, who all picked up injuries in Monday's 2-1 win over Tottenham.  Everton's visit to Manchester City is unique as it is the first time two Chinese players could meet in the Premier League. Both are defenders who played at the World Cup.  Everton's Li Tie signed in August, prompting Chinese cell phone company Kejian to sponsor their shirts. Sun Jihai joined then-first division Manchester City in February, helping the club to promotion to the Premier League.  Leeds' teenage prodigy James Milner could make his first Premier League start against Birmingham. On Friday, he became the youngest player to score in the Premier League in Leeds' 2-1 win over Sunderland and again scored against Chelsea.  Now paid around $230 a week as a trainee, Milner can earn 10 times that when he turns 17 on Saturday.  ""There's not much missing from his performance,"" said Leeds manager Terry Venables.  ""He has a lot in his locker."""
2003-01-03,"Belarus Science Official Seeks Compensation for Brain Drain; Japanese Students Caught in Cellphone Cheating Scam",8,"The president of the National Academy of Sciences of Belarus has a message for the West, which has been only too happy to employ the country's dwindling cadre of professors and scientists: You owe us. Mikhail Myasnikovich, the academy's president, proposes that Western organizations, as well as the countries in which they operate, in some way compensate Belarus for the brain drain that has continued steadily since independence in 1991. ""Right now it is too early to speak about results. We are still working out the details,"" Vladimir Podkopaev, head of the academy's division of international relations, said last month. The proposal would help protect the country's vital interests, Mr. Myasnikovich said at an October press conference in Minsk, the capital. He said compensation should be made not only to the Belarusian government, but also to all of the organizations -- including state universities and research institutes -- that the academics and scientists have left behind. Educating somebody through the doctoral level can cost the government as much as $600,000, Mr. Myasnikovich said. About 70 professors and scientists each year have left Belarus since 1996, the first year for which figures are available, according to the academy's Center for the Monitoring of Immigration of Scientific Personnel. But Yury Khodyko, a physicist with the academy, said the government has no right to request compensation, because working conditions for scientists in the country are so poor. ""Scientists are also people, and they have the right to choose a place for the realization of their abilities,"" he told the BelaPAN news agency. Physicists and mathematicians in Belarus earn an average of $120 per month, government statistics show. On the day before Mr. Myasnikovich's remarks, Nikolai Korbut, the finance minister, proposed a $5-million cut in the government's support of the sciences, to help provide money for back wages owed to state employees. *** A university in Tokyo has failed 26 students for cheating on their e-commerce final exams, by using the e-mail functions on their cellphones. Professors became suspicious when identical answers -- mistakes and all -- showed up on the test, which was taken by about 500 students in July, the Associated Press reported. Takehiko Sugiyama, vice president of Hitotsubashi University, said officials believe that a student left the classroom during the exam and sent the answers to his classmates in an e-mail message via his cellphone. Later, 26 students admitted to cheating after they did poorly on a subsequent exam. The university decided not to suspend the 26, but they were failed on the test, Mr. Sugiyama said."
2003-01-03,"BOYCOTT CINEMAS",9," I agree with the views expressed by Louis Wong in the letter headlined ""Selfish mobile phone users"" (South China Morning Post, December 27). I have had similar unpleasant experiences in cinemas. If movie-goers cannot maintain their silence and cinema managers cannot do anything to improve the situation, people should stop going to the cinema.  Those members of the audience who use mobile phones are being selfish by disturbing other people. I think only education within the family can help to change attitudes with future generations.  I also think cinema operators could do more to try and provide their customers with a genuinely enjoyable environment, even though they claim they have considered installing some kind of cellular phone-blocking device.  I have never seen any cinema staff stopping people using their mobile phones, chatting or smoking. Film-makers and distributors are also failing to consider the problems associated with cellphones. They just complain about how the poor state of the economy is affecting their income.  Rather than tolerating these inconsiderate film-goers, I have decided to stay away from cinemas and watch films now in the comfort of my own home.  ROSE YUEN  Causeway Bay"
2003-01-02,"Brass Tacks The gridiron: a breeding ground for girly behavior",10,"After inestimable hours of painstaking research, I have reached a pseudo-scientific conclusion that nothing reveals a man's feminine side like - football. Yes! Don't knuckle the disbelief from your eyes! You read correctly! I said, ""Football!"" You have to watch football, preferably of the professional ilk customarily telecast on Sundays, to understand what I mean. Any sports bar or rec room will suffice for this sociological study. On the surface, football brings out the most animalistic behavior in the typical male. For example, watch Tim Couch heft an interception with 45 seconds on the clock in the fourth quarter, and I can virtually guarantee that you will witness a vivid re-creation of the fighting ape-people in the prologue of ""2001: A Space Odyssey."" You also will likely hear a plethora of creative, heartfelt profanity that, if the wind is right, will trigger shelter-in-place sirens throughout the Greater Kanawha Valley. So how can a manly-man game turn otherwise manly men into Nancy Boys? Observe. A good 95 percent of the time, a man doesn't give a whit about his personal appearance. On Game Day, however, he will not leave the house unless the star on his Cowboys cap is perfectly aligned or his Kordell Stewart #10 jersey is fitting just so. And while women get a bad rap about yakking too much, there is none so verbal as a male football fan. Get two guys, complete strangers, in a bar any time of the day or night. Should one or both be wearing football-oriented apparel, this will automatically initiate a lifelong friendship or an enmity to make the Hatfield-McCoy Feud a barn dance in comparison. As Charlie Daniels once sang, ""You just go and lay your hands on a Pittsburgh Steelers fan, and I think you're gonna find out what I mean."" If I ever laid my hands on a Pittsburgh Steelers fan, I think I'd want to wash my hands right away. But I digress. Basically, when it comes to football, you can't shut a guy up, unless his team gets gobsmacked on Sunday and he doesn't show his face in public until Friday or Saturday, after a proper mourning period and to avoid well-earned derision, to start running his yap again. It is essential to know vital statistics on every member of every roster in the NFL, because this is knowledge. And knowledge is power, particularly when you have been known on occasion to gamble away a week's pay on the spread or spend half your waking hours tending to your fantasy football team like a bed of rare Asian orchids in a hothouse. So, although they might not say a dozen words to their wives and children throughout the week, men will talk incessantly about football at the drop of a hat (or a drop of a Tommy Maddox pass). They will talk about the glory days of the past. They will talk about the draft and the promise of the future. They will call each other repeatedly during the game to confirm if they have both seen the exact same play. There are few things as sad as watching a beer-sotted, Browns-shirted construction worker with male pattern baldness and a gut like the Michelin Man's, only bigger, shrieking like a spider monkey into his cellphone over a vaguely spectacular play that will probably be overturned by a coach's challenge anyway. If a man is at home watching football by himself, he is fully absorbed in the game at hand. This is not a good time to discuss issues, ladies, for he must concentrate on strategy and has no time for idle banter such as a fever-laden child, your emotional needs or the fact that the kitchen fire is spreading into the hallway. Spare us your chin music, wenches! In the company of men during football, however, even Marcel Marceau would yammer away about every play during a game, either how awesome or stupid it was, for there is little middle ground in this clash of modern-day gladiators. Perhaps it is something in the reptilian brain, but a man must express his reaction verbally to virtually every play of the game, be it a grunt or a Shakespearean sonnet of profanity. This makes perfect sense if you're at the stadium, to root for your team or heckle the opponents, but the only ones who hear you around a TV set are a bunch of other half-informed buffoons wearing two days' growth of beard and Packers or Dolphins sweatshirts. Lack of affection? I daresay that are few other public places where men will hug complete strangers of the same gender without Madonna or a showtune on the jukebox. As for guys who genuinely cry when their team loses - well, a gentleman never tells. Such things should remain a secret among men behind closed saloon doors. Although never actually playing football, Metro staff reporter Clint Thomas was a throwback in high school and a drawback in college."
